product_id,product_name,category,unit_price,active_flag
PROD_1000,Fully-configurable 5thgeneration task-force,Electronics,12.83,True
PROD_1001,Progressive national implementation,Home & Kitchen,53.17,True
PROD_1002,Digitized optimal leverage,Beauty,38.65,True
PROD_1003,Streamlined 24/7 hardware,Electronics,35.99,True
PROD_1004,Focused solution-oriented website,Electronics,251.37,True
PROD_1005,Synchronized asymmetric productivity,Beauty,200.3,True
PROD_1006,Open-architected intangible strategy,Home & Kitchen,287.63,True
PROD_1007,Mandatory stable website,Electronics,248.6,False
PROD_1008,User-friendly web-enabled software,Electronics,223.6,True
PROD_1009,Future-proofed real-time process improvement,Home & Kitchen,216.42,True
PROD_1010,De-engineered explicit projection,Beauty,227.73,False
PROD_1011,Devolved zero administration projection,Clothing,89.92,True
PROD_1012,Profound solution-oriented intranet,Home & Kitchen,281.17,False
PROD_1013,Automated zero administration software,Electronics,157.13,True
PROD_1014,Function-based even-keeled collaboration,Home & Kitchen,139.78,False
PROD_1015,Persevering object-oriented Graphical User Interface,Clothing,62.18,True
PROD_1016,Phased stable support,Beauty,144.64,False
PROD_1017,Synchronized attitude-oriented flexibility,Clothing,114.25,True
PROD_1018,Synergized uniform encryption,Sports,160.39,False
PROD_1019,Fully-configurable grid-enabled circuit,Clothing,127.18,True
PROD_1020,Implemented 24hour Local Area Network,Clothing,192.66,False
PROD_1021,Switchable executive benchmark,Home & Kitchen,199.63,False
PROD_1022,Assimilated logistical access,Beauty,253.53,False
PROD_1023,Object-based content-based support,Home & Kitchen,219.44,True
PROD_1024,Fully-configurable cohesive intranet,Beauty,84.91,False
PROD_1025,Secured object-oriented forecast,Electronics,252.78,True
PROD_1026,Organized systematic approach,Clothing,35.86,True
PROD_1027,Assimilated static instruction set,Clothing,91.99,True
PROD_1028,Configurable national standardization,Electronics,231.0,True
PROD_1029,Cross-platform stable projection,Clothing,8.34,True
PROD_1030,Triple-buffered multi-state product,Home & Kitchen,211.44,True
PROD_1031,Networked fault-tolerant solution,Sports,51.65,True
PROD_1032,Synergistic radical support,Electronics,11.22,True
PROD_1033,Innovative attitude-oriented leverage,Sports,253.55,True
PROD_1034,Advanced demand-driven concept,Home & Kitchen,281.36,True
PROD_1035,Optional directional core,Electronics,181.1,False
PROD_1036,Open-architected systemic moratorium,Home & Kitchen,256.95,False
PROD_1037,Open-source explicit ability,Beauty,193.83,True
PROD_1038,Organized motivating open architecture,Clothing,246.28,True
PROD_1039,Enterprise-wide dynamic functionalities,Sports,108.16,True
PROD_1040,Upgradable contextually-based collaboration,Home & Kitchen,203.43,True
PROD_1041,Pre-emptive motivating hardware,Home & Kitchen,62.85,True
PROD_1042,Optimized cohesive ability,Clothing,221.85,True
PROD_1043,Pre-emptive 6thgeneration flexibility,Electronics,272.44,True
PROD_1044,Progressive human-resource framework,Home & Kitchen,83.38,True
PROD_1045,Phased mission-critical intranet,Beauty,184.73,True
PROD_1046,Focused homogeneous conglomeration,Sports,47.82,True
PROD_1047,Business-focused systemic product,Sports,29.0,True
PROD_1048,Enterprise-wide background database,Electronics,91.0,True
PROD_1049,Team-oriented intermediate adapter,Clothing,39.42,False
PROD_1050,Reactive demand-driven protocol,Beauty,35.24,True
PROD_1051,Total tertiary archive,Home & Kitchen,195.97,True
PROD_1052,Optimized regional policy,Home & Kitchen,23.47,False
PROD_1053,Centralized neutral middleware,Electronics,197.15,False
PROD_1054,Proactive 6thgeneration forecast,Beauty,11.3,True
PROD_1055,De-engineered 4thgeneration orchestration,Beauty,66.4,True
PROD_1056,Integrated scalable analyzer,Home & Kitchen,293.39,True
PROD_1057,Streamlined zero administration time-frame,Beauty,53.12,True
PROD_1058,Right-sized transitional migration,Sports,107.54,True
PROD_1059,Monitored directional extranet,Home & Kitchen,100.21,True
PROD_1060,Optimized incremental artificial intelligence,Beauty,249.08,True
PROD_1061,Sharable mission-critical forecast,Electronics,227.19,True
PROD_1062,Multi-channeled optimizing process improvement,Electronics,112.11,True
PROD_1063,Reactive contextually-based interface,Home & Kitchen,146.85,True
PROD_1064,Secured heuristic open architecture,Sports,141.57,True
PROD_1065,Programmable bi-directional frame,Sports,272.74,False
PROD_1066,Intuitive demand-driven implementation,Sports,100.26,True
PROD_1067,Progressive scalable hub,Clothing,175.92,False
PROD_1068,De-engineered 5thgeneration product,Home & Kitchen,189.2,True
PROD_1069,Function-based 5thgeneration conglomeration,Home & Kitchen,119.14,True
PROD_1070,Team-oriented national core,Home & Kitchen,86.73,True
PROD_1071,Persevering responsive moratorium,Sports,173.74,True
PROD_1072,Pre-emptive object-oriented flexibility,Clothing,172.73,True
PROD_1073,Phased intermediate policy,Electronics,171.92,True
PROD_1074,Synergistic attitude-oriented info-mediaries,Clothing,86.0,True
PROD_1075,User-friendly multimedia forecast,Beauty,174.59,True
PROD_1076,Multi-lateral fresh-thinking hardware,Clothing,63.96,True
PROD_1077,Virtual 24/7 open architecture,Beauty,29.19,True
PROD_1078,Sharable systemic moratorium,Home & Kitchen,163.21,True
PROD_1079,Expanded global throughput,Clothing,228.75,True
PROD_1080,Ameliorated didactic standardization,Home & Kitchen,120.03,False
