product_id,category,unit_price,active_flag
PRD00001,Sports,183.58,False
PRD00002,Sports,155.17,False
PRD00003,Books,97.99,False
PRD00004,Garden,73.64,False
PRD00005,Beauty,51.15,True
PRD00006,Sports,179.49,False
PRD00007,Sports,211.43,False
PRD00008,Books,68.07,True
PRD00009,Books,183.52,False
PRD00010,Electronics,177.69,False
PRD00011,Beauty,202.9,True
PRD00012,Books,93.17,True
PRD00013,Books,167.86,False
PRD00014,Sports,92.45,True
PRD00015,Books,67.23,True
PRD00016,Beauty,174.06,False
PRD00017,Sports,12.12,False
PRD00018,Beauty,117.19,True
PRD00019,Books,150.43,True
PRD00020,Electronics,166.42,False
PRD00021,Home,121.23,False
PRD00022,Books,35.23,False
PRD00023,Home,42.61,False
PRD00024,Electronics,59.61,True
PRD00025,Home,180.62,True
PRD00026,Beauty,83.5,True
PRD00027,Books,167.04,False
PRD00028,Home,9.03,False
PRD00029,Electronics,53.77,True
PRD00030,Books,56.49,True
PRD00031,Home,18.43,True
PRD00032,Books,158.79,True
PRD00033,Electronics,159.57,True
PRD00034,Garden,26.06,False
PRD00035,Sports,236.78,False
PRD00036,Sports,103.83,True
PRD00037,Garden,96.07,True
PRD00038,Books,45.87,True
PRD00039,Beauty,140.22,False
PRD00040,Home,193.63,True
PRD00041,Home,100.5,True
PRD00042,Electronics,54.4,True
PRD00043,Electronics,228.73,True
PRD00044,Garden,68.22,True
PRD00045,Beauty,21.28,True
PRD00046,Books,156.33,True
PRD00047,Home,154.94,False
PRD00048,Books,110.99,True
PRD00049,Electronics,158.5,False
PRD00050,Beauty,43.15,False
PRD00051,Beauty,165.66,False
PRD00052,Beauty,188.76,True
PRD00053,Sports,195.66,False
PRD00054,Garden,72.56,True
PRD00055,Beauty,97.88,True
PRD00056,Sports,156.9,True
PRD00057,Home,191.35,True
PRD00058,Sports,192.69,False
PRD00059,Garden,201.28,False
PRD00060,Books,104.51,True
PRD00061,Beauty,26.6,False
PRD00062,Beauty,119.05,True
PRD00063,Home,181.07,True
PRD00064,Home,138.94,False
PRD00065,Electronics,117.1,True
PRD00066,Books,58.44,False
PRD00067,Sports,171.81,False
PRD00068,Sports,40.94,True
PRD00069,Beauty,192.84,False
PRD00070,Sports,41.94,False
PRD00071,Home,35.62,False
PRD00072,Electronics,77.69,True
PRD00073,Electronics,155.81,False
PRD00074,Beauty,237.91,True
PRD00075,Home,42.84,False
PRD00076,Home,83.04,False
PRD00077,Beauty,188.73,True
PRD00078,Electronics,35.35,False
PRD00079,Electronics,192.02,False
PRD00080,Home,45.87,True
PRD00081,Home,179.19,False
PRD00082,Beauty,92.0,False
PRD00083,Home,225.57,False
PRD00084,Sports,154.12,True
PRD00085,Electronics,69.78,True
PRD00086,Books,132.34,True
PRD00087,Electronics,243.79,False
PRD00088,Electronics,198.46,False
PRD00089,Electronics,88.54,False
PRD00090,Beauty,32.8,True
PRD00091,Books,160.79,True
PRD00092,Home,197.53,True
PRD00093,Sports,182.32,True
PRD00094,Garden,128.07,False
PRD00095,Beauty,63.84,True
PRD00096,Beauty,206.17,True
PRD00097,Garden,142.33,True
PRD00098,Sports,203.8,True
PRD00099,Beauty,173.91,True
PRD00100,Electronics,79.02,False
PRD00101,Beauty,165.17,False
PRD00102,Electronics,55.73,False
PRD00103,Electronics,64.22,True
PRD00104,Beauty,193.52,True
PRD00105,Beauty,99.24,True
PRD00106,Books,89.64,False
PRD00107,Beauty,121.13,True
PRD00108,Home,97.08,True
PRD00109,Sports,17.08,True
PRD00110,Sports,18.87,True
PRD00111,Garden,69.82,False
PRD00112,Sports,62.45,False
PRD00113,Books,169.55,True
PRD00114,Garden,164.29,False
PRD00115,Electronics,114.75,False
PRD00116,Home,137.98,False
PRD00117,Books,75.23,False
PRD00118,Beauty,31.12,True
PRD00119,Garden,69.69,True
PRD00120,Garden,225.74,False
PRD00121,Sports,102.39,False
PRD00122,Garden,174.67,False
PRD00123,Garden,50.16,False
PRD00124,Garden,175.0,True
PRD00125,Sports,231.31,False
PRD00126,Electronics,198.86,False
PRD00127,Electronics,99.83,False
PRD00128,Sports,75.9,True
PRD00129,Home,230.59,False
PRD00130,Home,119.15,True
PRD00131,Home,227.73,False
PRD00132,Garden,44.73,True
PRD00133,Electronics,197.73,True
PRD00134,Books,132.33,False
PRD00135,Garden,101.59,True
PRD00136,Beauty,44.4,True
PRD00137,Electronics,181.59,False
PRD00138,Books,71.7,False
PRD00139,Books,147.76,True
PRD00140,Electronics,164.88,True
PRD00141,Sports,65.69,True
PRD00142,Garden,42.02,True
PRD00143,Garden,221.49,True
PRD00144,Books,17.41,False
PRD00145,Books,5.07,False
PRD00146,Beauty,49.47,True
PRD00147,Books,129.99,False
PRD00148,Garden,117.03,False
PRD00149,Garden,225.09,False
PRD00150,Electronics,132.4,False
PRD00151,Books,79.45,False
PRD00152,Home,194.67,False
PRD00153,Electronics,106.83,False
PRD00154,Electronics,194.63,False
PRD00155,Beauty,64.17,False
PRD00156,Beauty,191.54,True
PRD00157,Garden,29.42,True
PRD00158,Electronics,185.52,True
PRD00159,Books,173.67,True
PRD00160,Beauty,96.39,False
PRD00161,Books,162.74,True
PRD00162,Sports,218.2,False
PRD00163,Garden,127.29,False
PRD00164,Sports,115.75,True
PRD00165,Home,229.52,True
PRD00166,Electronics,101.49,False
PRD00167,Electronics,16.06,True
PRD00168,Books,239.81,False
PRD00169,Sports,201.75,True
PRD00170,Garden,122.15,False
PRD00171,Beauty,171.21,True
PRD00172,Books,22.65,True
PRD00173,Beauty,215.69,True
PRD00174,Electronics,109.71,False
PRD00175,Electronics,5.8,True
PRD00176,Sports,50.64,False
PRD00177,Home,61.47,False
PRD00178,Garden,118.04,True
PRD00179,Garden,15.86,False
PRD00180,Home,114.47,False
PRD00181,Garden,226.0,True
PRD00182,Beauty,34.39,False
PRD00183,Electronics,37.35,True
PRD00184,Garden,149.7,True
PRD00185,Electronics,59.29,False
PRD00186,Electronics,20.4,False
PRD00187,Electronics,206.34,False
PRD00188,Books,155.09,False
PRD00189,Home,10.79,True
PRD00190,Home,123.65,True
PRD00191,Books,64.84,False
PRD00192,Books,152.53,True
PRD00193,Books,215.54,True
PRD00194,Books,202.79,False
PRD00195,Garden,86.53,True
PRD00196,Home,26.65,True
PRD00197,Garden,122.06,False
PRD00198,Electronics,55.51,True
PRD00199,Sports,151.06,False
PRD00200,Garden,246.6,True
PRD00201,Sports,126.69,True
PRD00202,Garden,199.41,True
PRD00203,Beauty,167.37,True
PRD00204,Garden,175.39,False
PRD00205,Home,119.07,True
PRD00206,Garden,111.53,True
PRD00207,Books,136.49,True
PRD00208,Beauty,189.28,False
PRD00209,Electronics,167.81,False
PRD00210,Electronics,44.72,True
PRD00211,Garden,83.87,False
PRD00212,Garden,107.61,False
PRD00213,Sports,111.61,False
PRD00214,Electronics,158.01,False
PRD00215,Beauty,226.16,True
PRD00216,Beauty,139.83,True
PRD00217,Sports,70.98,True
PRD00218,Electronics,152.08,True
PRD00219,Books,33.73,False
PRD00220,Home,47.47,False
PRD00221,Home,170.98,True
PRD00222,Garden,43.62,True
PRD00223,Home,131.8,False
PRD00224,Books,92.05,False
PRD00225,Electronics,214.42,False
PRD00226,Electronics,236.09,True
PRD00227,Beauty,227.19,True
PRD00228,Books,44.27,True
PRD00229,Beauty,20.98,False
PRD00230,Sports,145.22,True
PRD00231,Beauty,82.55,False
PRD00232,Beauty,159.69,True
PRD00233,Home,150.04,False
PRD00234,Garden,18.59,True
PRD00235,Electronics,245.7,True
PRD00236,Electronics,165.64,False
PRD00237,Books,213.99,False
PRD00238,Books,35.74,True
PRD00239,Home,91.35,True
PRD00240,Sports,36.04,False
PRD00241,Books,163.94,False
